Track	Popularity	Read
Innoss'B - Best	35	13
Damso - FAIS ÇA BIEN	2	22
Damso - ?. 2 DIAMANTS	62	8
Damso - ?. CHIALER	56	10
Nekfeu - L'air du temps	54	13
Nekfeu - De mon mieux	55	14
Nekfeu - Le bruit qui court	56	11
Deen Burbigo - IMMUNITÉ DIPLOMATIQUE	55	14
Siboy - Mobali	0	27
Damso - William	47	14
Damso - Autotune	59	16
Damso - N. J Respect R	0	14
Damso - ?. Kietu	0	11
Damso - ?. Macarena	0	12
Damso - 911	66	29
Nekfeu - Oui et non	53	18
Nekfeu - malevil	47	15
Darktek - Black Summer	42	8
Damso - ROSE MARTHE'S LOVE	3	19
Damso - Smeagol	47	10
Damso - Dix leurres	47	10
Damso - Aux paradis	46	11
Masked Wolf - Astronaut In The Ocean	84	13
Ninho - Promo (feat. Damso)	48	17
Ninho - Lettre à une femme	55	12
Nekfeu - Takotsubo	56	15
Damso - BruxellesVie	55	17
24kGoldn - Mood (feat. iann dior)	21	16
Nekfeu - Elle pleut	65	7
Lil Nas X - HOLIDAY	83	13
Damso - BPM	5	21
PRIME - Canon long	48	15
Alpha Wann - 3095 pt2	53	16
ItaloBrothers - Radio Hardcore	49	11
Damso - ?. Lové	0	8
Hornet La Frappe - Gasolina (feat. Ninho)	75	15
Ninho - Every day (feat. Griff)	43	15
Nekfeu - Ecrire	60	14
Nekfeu - Chanson d'amour	57	16
Major Lazer - Que Calor (with J Balvin & El Alfa)	34	16
Travis Scott - HIGHEST IN THE ROOM	84	13
OBOY - Mélodie	59	10
Damso - Introduction (Damso / Lithopédion)	45	12
Nekfeu - Menteur menteur	55	12
Nekfeu - Interlude Fifty	50	18
Damso - THEVIE RADIO (Interlude)	46	17
Nekfeu - Dans l'univers	65	17
OBOY - Ysl	62	12
Damso - INTRO	52	26
Nekfeu - Tricheur	64	6
Damso - Fais-moi un Vie	51	11
Damso - ?. Noob Saibot	0	29
Damso - LIFE LIFE	60	19
Damso - Perplexe	45	8
Damso - NMI	45	15
Nekfeu - Premier pas	57	23
D-Sturb - Nothing Like The Oldschool	57	9
24kGoldn - VALENTINO	74	11
Damso - Silence	55	27
Damso - Poséidon	48	14
Damso - BXL ZOO	62	30
Népal - Suga Suga	63	8
Fixpen Sill - Attila	28	8
Hamza - God Bless (feat. Damso)	0	7
TIX - Makten 2019	45	6
Damso - DEUX TOILES DE MER	62	23
Damso - MEVTR	4	24
Damso - Graine de sablier	51	7
Damso - Quotidien de baisé	44	8
Nekfeu - Les étoiles vagabondes	59	12
Nekfeu - Nouvel homme	52	13
Laylow - UNE HISTOIRE ÉTRANGE	62	14
Laylow - LOST FOREST	56	15
Lorenzo - MBK Rocket	46	12
Nekfeu - La ballade du Frémont	45	13
Kalash Criminel - But en or	50	8
Damso - Tueurs	0	10
ItaloBrothers - Sleep When We're Dead - Video Edit	57	11
Damso - ?. VANTABLACK	61	14
ElGrandeToto - Etranger (feat. Damso)	48	15
Damso - Sombre	43	7
Damso - Humains - Bonus Track	52	10
Damso - Même issue	45	18
Damso - Beautiful	47	18
Damso - D'JA ROULÉ	55	18
Damso - Périscope	49	10
Jazzy Bazz - Éternité	57	17
Damso - ?. Kin la belle	0	12
Nekfeu - Natsukashii	56	13
Damso - ?. OG	56	11
ItaloBrothers - Upside Down - Radio Edit	35	13
Damso - Ipséité - Bonus Track	49	19
Ninho - C'était le rap	42	14
Ninho - Centre commercial (feat. Heuss L'enfoiré)	37	10
Ninho - Paris c'est magique	57	8
Ninho - La vie qu'on mène	71	8
S.Pri Noir - Juste pour voir	64	12
Ninho - Millésimes	35	17
Ufo361 - On Time	41	14
Damso - ?. Nwaar Is The New Black	0	8
Nekfeu - Mauvaise graine	59	10
ItaloBrothers - Hasselhoff 2017	42	8
Kuselofte - Soak 2018	37	17
Nekfeu - A la base	53	15
Booba - Pinocchio	0	15
Bakermat - Baianá	0	13
Nekfeu - Koala mouillé	49	8
Nekfeu - Rouge à lèvres	54	16
Damso - CQFD	48	12
Damso - POUR L'ARGENT	53	21
OBOY - Cabeza	73	8
Damso - YOUVOI	54	7
TIX - Sjeiken 2015	50	7
Capital Bra - Prinzessa	52	15
OneRepublic - Run	83	13
Nekfeu - Ken Kaneki	59	12
Ninho - Le jeu (feat. Yaro)	36	14
Nekfeu - Nique les clones, Pt. II	59	8
Josman - Un Zder, Un Thé	0	7
Leto - Train de vie (feat. PLK)	61	8
Josman - J’allume	23	10
Ninho - Filon	47	11
OBOY - TDB	77	12
Alpha Wann - aaa	57	10
Damso - ?. PASSION	55	7
Rowjay - Devil May Cry	55	14
Damso - COEUR EN MIETTES	7	22
The Script - Hall of Fame (feat. will.i.am)	80	14
Damso - ?. Mosaïque solitaire	0	12
TIX - Snøstorm - 2019	38	9
Damso - ?. VIVRE UN PEU	55	11
Alpha Wann - apdl	53	11
Nekfeu - CDGLAXJFKHNDATH	52	6
Lesram - san andreas	48	7
Billx - Halibo	56	14
Nekfeu - Alunissons	59	13
Booba - Petite fille	56	8
"Migos - My Family - from ""The Addams Family"""	69	15
Damso - B. #QuedusaalVie	54	26
Nekfeu - Cheum	60	10
Damso - Tard la night	44	17
Ninho - Gros vendeurs	39	13
Koer - TLT #3	24	10
Timmy Trumpet - Dumb (Feat. Charlott Boss)	61	15
DA Uzi - Jeune d'en bas (feat. Nekfeu)	64	14
Nekfeu - Voyage léger	55	8
Damso - Smog	50	18
Damso - 60 années	50	13
Nekfeu - 1er rôle	51	11
Gradur - Rari	44	13
Laylow - R9R-LINE (feat. Damso)	68	8
Damso - ?. Signaler	63	23
Ikaz Boi - SOLITERRIEN	56	17
Capital Bra - Wir ticken	54	7
Nekfeu - Jeux vidéo et débats	51	5
Damso - Ipséité	0	8
Nekfeu - Compte les hommes	52	14
Damso - Julien	46	12
Kalash - JTC	48	15
Damso - ?. Gova	0	14
D.A.V - ParoVie (feat. Damso)	38	15
Booba - Arc-en-ciel	55	6
Damso - Feu de bois	51	14
Dinos - Moins un	58	4
The S.O.S Band - Take Your Time (Do It Right)	49	10
HIIT BPM - Bring Sally Up - Workout	53	10
Nekfeu - De mes cendres	56	19
Nekfeu - Sous les nuages	55	11
Damso - ?. DOSE	57	8
Ninho - Maman ne le sait pas (feat. Niska)	66	8
Damso - ?. Dieu ne ment jamais	0	8
Vegedream - Personne	45	11
Damso - Paris c'est loin	0	10
Leto - Macaroni (feat. Ninho)	64	4
ItaloBrothers - This Is Nightlife - Video Edit	45	14
Deepend - Desire (feat. She Keeps Bees)	64	12
Damso - Mort	50	8
Capital Bra - Tilidin	61	6
Népal - Daruma	53	6
Damso - ?. THEVIE RADIO	58	6
Vald - Non stop	42	18
Damso - Débrouillard	52	9
Orelsan - Rêves bizarres (feat. Damso)	0	9
Damso - TieksVie	54	7
Nekfeu - Dernier soupir	52	8
Juice WRLD - Come & Go (with Marshmello)	83	10
Kalash - Mwaka Moon	0	9
Damso - ?. ZWAAR	54	9
Timmy Trumpet - Therapy	59	10
Booba - 113	53	13
Kalash - Praliné	38	14
Bosh - Slide	59	7
Nekfeu - Ó?? ????	56	12
Ninho - Money (feat. Faouzia)	62	13
Damso - ?. MOROSE	69	11
Ufo361 - Nummer	51	14
Damso - SENTIMENTAL	5	10
Damso - ?. Peur d'être père	0	10
Damso - Baltringue	49	10
Vald - Vitrine	0	10
ItaloBrothers - Stamp on the Ground - Radio Edit	54	5
